IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,1933.5,2256,1,0,1,826,17,34,9,137.764,134.11,128.714,12.2617,11.9983,12.9872
1,2753,2244.5,1,0,1,541,14,48,10,132.028,129.706,122.176,11.7032,11.7909,13.5681
1,2246.5,2214.5,1,0,1,467,12,48,10,137.278,134.758,126.749,11.571,11.6503,13.2652
1,2332.25,2186.75,1,0,1,419,12,60,8,134.372,134.055,125.826,12.3101,12.0337,14.0384
1,2298.07,2177.16,1,0,1,545,13,44,11,136.228,132.598,124.818,11.5169,12.037,13.4179
1,2021.5,2132.5,1,0,1,243,9,42,7,139.342,137.008,131.654,13.3609,13.4979,14.0767
1,1127.5,2092,1,0,1,440,12,54,10,139.584,138.67,131.423,12.0234,11.3992,12.641
1,1398.5,2081,1,0,1,537,14,48,11,138.605,136.892,128.914,12.1436,11.9452,13.6004
1,1117.5,2059.5,1,0,1,473,13,66,10,138.351,139.319,130.142,12.9922,12.0741,13.4984
1,3014.25,2062.25,1,0,1,986,18,50,6,128.477,127.174,122.163,11.8271,11.8989,13.9395
1,691,2038.5,1,0,1,543,14,60,6,137.702,137.685,132.162,12.2212,12.2362,12.5679
1,2760.25,2009.75,1,0,1,480,13,52,7,132.5,131.008,125.14,12.641,12.8742,13.8103
1,2430.5,1954.5,1,0,1,162,7,40,7,142.537,141.475,136.858,6.52339,6.27889,6.45222
1,3052.5,1963.5,1,0,1,1152,19,44,8,128.794,127.34,121.272,10.6814,11.0779,12.346
1,1265.25,1932.75,1,0,1,405,11,40,10,140.314,136.783,130.877,11.6415,11.964,12.3244
1,1083.5,1926,1,0,1,189,8,50,13,148.693,146.683,138.392,5.24775,5.09604,5.7837
1,2851.5,1890,1,0,1,495,13,44,4,131.174,130.057,126.968,12.3712,12.0992,13.3744
1,3070.94,1862.92,1,0,1,553,15,76,4,130.338,131.038,126.631,11.4494,11.1317,12.2917
1,1444.25,1859.75,1,0,1,361,11,42,11,141.798,139.155,132.463,10.8681,11.0994,12.6951
1,2343,1853,1,0,1,382,11,34,7,138.099,134.568,130.814,11.5709,11.2997,12.0822
1,1083.84,1847.36,1,0,1,531,13,60,8,135.461,135.407,127.369,11.7132,11.6919,13.039
1,1403.6,1839.2,1,0,1,395,12,36,11,141.516,138.008,132.367,11.3638,11.5498,12.2292
1,2972.5,1822,1,0,1,550,14,50,6,129.693,129.18,123.862,12.5968,12.5501,13.1176
1,1940.5,1805.5,1,0,1,233,9,36,11,145.94,142.33,135.773,8.13005,8.19786,9.25374
1,2617.75,1774.75,1,0,1,525,13,60,6,130.23,130.036,123.941,13.549,12.8608,14.326
1,1379.38,1744.35,1,0,1,905,18,42,10,135.512,132.538,125.762,11.0586,11.0789,12.1233
1,3146.75,1714.75,1,0,1,497,13,90,4,130.288,132.181,127.642,11.9515,11.5906,12.9309
1,2343,1687,1,0,1,110,7,60,9,145.836,145.536,138.118,6.82085,6.81796,7.50417
1,2895.2,1692.4,1,0,1,495,13,20,3,133.046,131.156,129.879,12.0307,12.2321,12.9283
1,147.5,1664,1,0,1,23,4,164,8,63.5217,67.5217,66.6957,4.34754,4.34754,4.53166
1,2328.5,1664,1,0,1,507,13,52,7,131.442,129.755,123.523,10.8643,10.7483,11.6549
1,1666.5,1655.5,1,0,1,477,13,46,9,136.767,134.505,127.556,11.0357,10.8837,12.7621
1,1844,1629.5,1,0,1,353,11,46,9,137.275,135.008,127.887,12.2464,12.0481,13.2737
1,2785,1558.5,1,0,1,159,7,44,5,143.648,142.654,139.868,9.01268,8.96453,9.1935
1,3116.63,1530.29,1,0,1,527,14,60,3,129.004,129.469,125.753,10.4031,10.49,11.2341
1,1648.16,1520.79,1,0,1,469,13,42,10,134.296,131.32,124.092,11.268,11.2774,12.0534
1,2053.75,1503.25,1,0,1,463,13,38,11,131.583,128.456,121.352,10.1253,10.0536,11.0834
1,2293.75,1448.25,1,0,1,30,4,48,6,149.267,148.333,143.967,3.59401,3.50777,3.46959
1,2743.94,1464.88,1,0,1,1384,21,38,12,140.586,137.309,130.217,7.83654,8.30049,9.76094
1,2519,1431,1,0,1,524,13,44,8,131.063,129.065,123.248,11.4398,11.7551,12.9165
1,2964.5,1426,1,0,1,525,13,36,5,133.051,131.194,127.857,11.368,11.8493,12.4053
1,1202.25,1427.25,1,0,1,564,15,54,9,133.179,132.048,124.296,12.0794,11.7989,13.4122
1,2307.34,1387.12,1,0,1,681,15,38,12,138.91,135.185,128.001,8.47365,8.6424,9.50231
1,1550.54,1353.43,1,0,1,510,13,42,7,131.653,130.057,125.371,11.5911,11.3917,11.8582
1,1894.6,1284.7,1,0,1,161,7,50,7,140.714,140.28,135.242,8.38929,8.36806,8.53441
1,2043.5,1258,1,0,1,508,13,52,8,128.671,128.262,121.39,11.484,10.8435,12.172
1,1385.96,1219.12,1,0,1,635,15,60,6,128.94,129.039,122.888,12.0839,11.9654,12.8564
1,1764,1195,1,0,1,939,18,38,8,128.302,125.315,119.825,10.2135,10.9638,11.8167
1,1199,1125.5,1,0,1,518,13,52,7,131.963,131.486,125.116,10.7611,10.5751,11.9836
